,knum,z_dim,Dsize,lr,train_loss,minimum_val_loss,number_of_model_parameters
187,"[256, 512]",8,[16],0.001,0.006614659680053592,0.006254743784666061,3446569
188,"[256, 512]",16,[16],0.0001,0.006493488501291722,0.00596441887319088,3446833
189,"[256, 512]",16,[16],0.001,0.0064722574898041785,0.005931181367486715,3446833
190,"[256, 512]",32,[16],0.0001,0.0064782307599671185,0.005976993590593338,3447361
191,"[256, 512]",32,[16],0.001,0.006482160126324743,0.0059965536929667,3447361
192,"[256, 512]",8,[32],0.0001,0.006018754618708044,0.005846903193742037,4495433
193,"[256, 512]",8,[32],0.001,0.006034036574419588,0.0058381566777825356,4495433
194,"[256, 512]",16,[32],0.0001,0.005624523852020502,0.00525342533364892,4495953
195,"[256, 512]",16,[32],0.001,0.0055229487479664385,0.005091091617941856,4495953
196,"[256, 512]",32,[32],0.0001,0.005521802930161357,0.005026564467698336,4496993
197,"[256, 512]",32,[32],0.001,0.0055118672898970544,0.0050513967871665955,4496993
198,"[256, 512]",8,[64],0.0001,0.005722864007111639,0.005707249976694584,6593161
199,"[256, 512]",8,[64],0.001,0.005751145945396274,0.00571327144280076,6593161
200,"[256, 512]",16,[64],0.0001,0.005022146971896291,0.004801565315574408,6594193
201,"[256, 512]",16,[64],0.001,0.005001262994483113,0.004795033484697342,6594193
202,"[256, 512]",32,[64],0.0001,0.004632642492651939,0.004270876292139292,6596257
203,"[256, 512]",32,[64],0.001,0.0046506181242875755,0.004293692298233509,6596257
204,"[256, 512]",8,"[64, 32]",0.0001,0.006307029339950532,0.005889699794352055,6596809
205,"[256, 512]",8,"[64, 32]",0.001,0.010878707631491125,0.011328738182783127,6596809
206,"[256, 512]",16,"[64, 32]",0.0001,0.00622028874931857,0.005647269077599049,6597329
207,"[256, 512]",16,"[64, 32]",0.001,0.006260633352212608,0.005723231937736273,6597329
208,"[256, 512]",32,"[64, 32]",0.0001,0.006215955188963562,0.005725519731640816,6598369
209,"[256, 512]",32,"[64, 32]",0.001,0.006438629177864641,0.0060393246822059155,6598369
210,"[256, 512]",8,"[32, 16]",0.0001,0.007346093829255551,0.00692018074914813,4496233
211,"[256, 512]",8,"[32, 16]",0.001,0.010865705669857562,0.011328660883009434,4496233
212,"[256, 512]",16,"[32, 16]",0.0001,0.007052006490994245,0.006357151083648205,4496497
